행정구역별,2016,2017,2018,2019,2020
전국,5.6,5.4,5.2,4.8,4.6
서울특별시,5.6,5.4,5.2,4.8,4.6
부산광역시,5.2,4.8,4.6,4.2,4
대구광역시,5,4.8,4.6,4.4,4.2
인천광역시,6,5.8,5.4,5.2,4.8
광주광역시,5.2,5,4.8,4.6,4.2
대전광역시,5.6,5.2,5,4.6,4.4
울산광역시,6.4,6.2,5.8,5.4,5
세종특별자치시,8.2,8,8,7.6,7
경기도,6,5.8,5.6,5.4,5
강원도,5,4.8,4.6,4.6,4.4
충청북도,5.4,5.2,5,4.8,4.4
충청남도,5.6,5.4,5.2,5,4.6
전라북도,4.6,4.4,4.2,4,3.8
전라남도,5,4.8,4.4,4.2,4
경상북도,5,4.8,4.6,4.4,4
경상남도,5.6,5.4,5,4.8,4.4
제주특별자치도,6,5.8,5.6,5.4,5
